source,target,weight
107536229,20508512,53
156037856,20508512,52
44338537,20508512,29
9679595,20508512,22
57317154,20508512,34
57025612,20508512,21
89041633,31239503,24
44335356,31239503,400
125387632,31239503,1084
21991090,31239503,391
26490481,31239503,2085
128293484,31239503,442
188890121,31239503,1041
29506118,31239503,144
160504245,31239503,554
57025612,31239503,464
638511570,31239503,443
64581694,31239503,350
38064706,31239503,53
11692694,31239503,135
26819117,31239503,253
129004176,31239503,1253
64555493,31239503,45
108268890,31239503,1372
74488574,31239503,76
16064695,31239503,587
38746172,31239503,456
9679595,31239503,144
24538518,31239503,357
213749122,31239503,1875
36483360,31239503,669
57317154,31239503,320
673571250,31239503,246
99591839,31239503,84
59965916,31239503,542
117783070,31239503,281
62510206,31239503,161
164234001,31239503,46
52839414,31239503,110
30104304,31239503,479
92113890,31239503,253
134766328,31239503,199
135377687,31239503,274
445529741,31239503,227
119415848,31239503,232
9244832,31239503,350
156037856,31239503,332
101936909,31239503,115
32402794,31239503,150
31545223,31239503,175
133923936,31239503,11
131403189,31239503,166
27115917,31239503,225
206506086,31239503,36
63493039,31239503,57
25202416,31239503,130
25604128,31239503,104
410965603,31239503,86
36138196,31239503,165
107305687,31239503,79
8641037,31239503,224
28369163,31239503,103
503598254,31239503,149
50597026,31239503,162
10386664,31239503,44
61433001,31239503,40
38594688,31239503,204
69239046,31239503,56
115608720,31239503,509
174955366,31239503,107
92372244,31239503,24
15027034,31239503,155
71672341,31239503,135
9528182,31239503,32
102845970,31239503,25
7010591,31239503,56
135052907,31239503,52
56040562,31239503,61
16677765,31239503,123
44338537,31239503,64
164459256,31239503,44
45098797,31239503,29
147337432,31239503,93
88239974,31239503,64
50465063,31239503,26
67802451,31239503,108
25259668,31239503,91
416031592,31239503,77
116298471,31239503,45
107536229,31239503,86
43102846,31239503,89
20508512,31239503,59
44396269,31239503,29
219621643,31239503,14
50686586,31239503,20
174592989,31239503,30
409760532,31239503,18
31239503,188614162,284
125387632,188614162,1338
32402794,188614162,15
108268890,188614162,37
9679595,188614162,15
11692694,188614162,22
213749122,188614162,186
16064695,188614162,42
156037856,188614162,29
38746172,188614162,54
71672341,188614162,16
129004176,188614162,87
638511570,188614162,27
57317154,188614162,32
24538518,188614162,22
119415848,188614162,24
134766328,188614162,34
26490481,188614162,86
36483360,188614162,62
160504245,188614162,69
